customer_id,age,workclass,education,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,Response
5877,57,Private,HS-grad,9,Married-civ-spouse,Priv-house-serv,Husband,Male,0,0,30,No
15660,46,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,30,Yes
7497,48,State-gov,Bachelors,13,Separated,Prof-specialty,Unmarried,Female,914,0,40,No
13034,54,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,Yes
149,55,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,15024,0,50,Yes
4270,42,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,5178,0,50,Yes
14513,52,Federal-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,60,Yes
15682,47,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Wife,Female,15024,0,40,Yes
8111,18,Local-gov,10th,6,Never-married,Craft-repair,Own-child,Male,0,0,40,No
9882,52,Local-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,72,No
4090,30,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,Yes
7037,46,Private,Bachelors,13,Divorced,Sales,Unmarried,Female,0,0,40,No
1567,45,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,Yes
13482,49,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,40,Yes
14764,73,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Male,0,0,30,No
9409,24,Private,HS-grad,9,Never-married,Transport-moving,Own-child,Male,0,0,40,No
2295,77,Self-emp-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,Male,0,0,35,Yes
6564,49,Private,HS-grad,9,Widowed,Exec-managerial,Not-in-family,Female,0,0,35,No
7855,45,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,99999,0,60,Yes
9006,47,Private,Some-college,10,Separated,Other-service,Not-in-family,Male,0,0,21,No
10053,41,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,60,Yes
7429,37,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,Yes
11589,35,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,7298,0,45,Yes
2360,53,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,Yes
3899,63,Private,HS-grad,9,Divorced,Adm-clerical,Other-relative,Female,0,0,40,No
11571,34,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Female,4650,0,50,No
10635,44,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,Yes
8513,38,Self-emp-inc,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,60,Yes
4348,32,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,2002,66,No
1271,38,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,Yes
11344,64,Private,5th-6th,3,Married-civ-spouse,Other-service,Husband,Male,0,0,40,No
9413,43,Federal-gov,Some-college,10,Married-civ-spouse,Tech-support,Husband,Male,0,0,75,Yes
424,24,Private,Bachelors,13,Never-married,Sales,Not-in-family,Male,0,0,45,No
5157,21,Private,Some-college,10,Never-married,Other-service,Own-child,Female,0,0,25,No
14587,51,Local-gov,Masters,14,Widowed,Prof-specialty,Not-in-family,Female,0,0,40,Yes
3948,62,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,Female,0,0,40,No
14650,49,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,15024,0,60,Yes
8124,40,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Male,0,0,40,No
5144,43,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,20,Yes
13940,39,Private,Bachelors,13,Never-married,Sales,Not-in-family,Female,8614,0,50,Yes
4088,45,Private,Some-college,10,Married-spouse-absent,Other-service,Not-in-family,Female,0,0,24,No
9598,21,State-gov,Some-college,10,Never-married,Other-service,Own-child,Female,0,0,11,No
6395,38,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,Male,0,0,40,No
4254,40,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,No
5312,40,Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,60,Yes
13437,33,Private,9th,5,Married-civ-spouse,Transport-moving,Husband,Male,0,0,50,No
5524,62,State-gov,Doctorate,16,Divorced,Prof-specialty,Not-in-family,Male,0,0,50,No
7333,53,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,80,Yes
10350,18,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Male,0,0,26,No
1334,26,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,Male,0,0,40,No
2628,40,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,Male,0,0,85,No
12039,35,Self-emp-not-inc,1st-4th,2,Married-civ-spouse,Exec-managerial,Husband,Male,4386,0,65,No
12536,53,State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,Yes
8273,50,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,Yes
3183,32,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,Male,0,0,40,No
14740,44,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,7298,0,40,Yes
13347,30,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,Yes
1965,26,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Male,0,0,56,No
9437,36,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,Yes
6751,37,Private,Bachelors,13,Married-spouse-absent,Exec-managerial,Not-in-family,Female,0,0,40,No
16245,32,Private,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Male,5178,0,60,Yes
6640,31,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Female,0,0,40,No
12498,20,Local-gov,Some-college,10,Never-married,Adm-clerical,Own-child,Female,0,0,20,No
5064,68,Private,11th,7,Widowed,Machine-op-inspct,Not-in-family,Female,0,1870,35,No
1625,37,Private,HS-grad,9,Never-married,Sales,Not-in-family,Male,0,2339,40,No
11041,20,Private,Some-college,10,Never-married,Other-service,Own-child,Male,0,0,30,No
10952,30,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,Yes
3791,28,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,45,No
14342,47,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,No
8641,61,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,37,No
12712,46,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Male,0,0,40,Yes
16098,32,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,Yes
11491,53,Federal-gov,Some-college,10,Married-civ-spouse,Tech-support,Husband,Male,4386,0,40,Yes
4970,27,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Male,0,0,38,No
5895,58,Private,Assoc-voc,11,Widowed,Prof-specialty,Unmarried,Female,0,0,45,No
15036,29,Private,Assoc-acdm,12,Never-married,Other-service,Own-child,Male,0,0,20,No
3417,54,Private,5th-6th,3,Divorced,Machine-op-inspct,Other-relative,Female,0,0,40,No
6769,59,Federal-gov,HS-grad,9,Never-married,Exec-managerial,Other-relative,Female,0,0,40,No
13777,24,Private,HS-grad,9,Never-married,Exec-managerial,Own-child,Female,0,0,40,No
8610,29,Private,HS-grad,9,Never-married,Other-service,Own-child,Female,0,0,20,No
13844,50,Private,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,Male,0,0,65,No
4736,20,Private,9th,5,Never-married,Transport-moving,Unmarried,Male,0,0,35,No
5520,20,Private,HS-grad,9,Never-married,Sales,Own-child,Female,0,0,20,No
1015,48,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,No
5642,58,Private,Some-college,10,Separated,Adm-clerical,Not-in-family,Female,0,1092,40,No
2197,25,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Female,0,0,25,No
12461,51,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,Male,0,0,40,Yes
9345,30,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,No
9199,42,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,No
16063,54,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,Male,0,0,60,No
6308,52,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Female,0,0,40,No
7548,80,Private,HS-grad,9,Widowed,Other-service,Not-in-family,Male,0,0,15,No
7989,36,Private,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,Female,0,0,36,No
8501,22,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Female,0,0,48,No
16226,52,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,40,Yes
9343,38,Self-emp-not-inc,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Female,0,0,50,No
8237,44,Federal-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,7688,0,40,Yes
10731,42,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,1740,60,No
224,52,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,40,Yes
7616,39,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,Male,0,0,50,Yes
4678,33,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Male,0,0,48,No
4868,22,Private,HS-grad,9,Never-married,Sales,Own-child,Female,0,0,20,No
3518,44,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,No
15490,64,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,No
9218,38,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,No
7560,39,Private,7th-8th,4,Separated,Other-service,Other-relative,Male,0,0,40,No
13428,23,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Male,0,0,40,No
9426,24,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,Male,0,0,20,No
1032,25,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,Male,0,0,56,Yes
26,45,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,7298,0,90,Yes
5690,30,Private,9th,5,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,No
12154,24,Private,Bachelors,13,Never-married,Sales,Own-child,Female,0,0,35,No
10787,45,Private,Some-college,10,Divorced,Priv-house-serv,Not-in-family,Female,0,0,29,No
2187,39,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,Yes
14817,38,Private,HS-grad,9,Never-married,Farming-fishing,Not-in-family,Male,0,0,48,No
1618,19,Private,11th,7,Never-married,Other-service,Own-child,Male,0,0,20,No
1026,53,Federal-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,7298,0,40,Yes
4481,35,Self-emp-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,7298,0,45,Yes
4962,34,Private,10th,6,Separated,Other-service,Unmarried,Female,0,0,4,No
12026,51,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,48,Yes
6106,46,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,65,Yes
12167,39,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,Yes
14077,62,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,1902,55,Yes
10753,56,Private,Some-college,10,Never-married,Craft-repair,Unmarried,Male,0,0,40,No
14099,33,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,Male,0,0,50,Yes
8968,57,Self-emp-not-inc,Some-college,10,Divorced,Transport-moving,Not-in-family,Male,0,0,40,No
7089,42,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,60,Yes
16208,18,Private,Some-college,10,Never-married,Other-service,Other-relative,Female,0,0,40,No
8669,43,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,60,Yes
11200,42,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,Yes
3803,23,Self-emp-inc,Some-college,10,Never-married,Exec-managerial,Own-child,Male,0,0,40,No
7806,54,Self-emp-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Male,99999,0,70,Yes
11623,24,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,No
15987,49,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,1485,40,Yes
9762,29,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,45,No
347,39,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,Female,99999,0,40,Yes
10536,21,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,Yes
11916,37,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,7688,0,55,Yes
12646,63,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,10,No
2052,37,Self-emp-not-inc,Some-college,10,Never-married,Sales,Own-child,Male,0,0,48,No
11169,41,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,50,No
7658,76,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Male,5556,0,13,Yes
1622,61,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,35,No
7561,40,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Female,0,0,40,No
8687,51,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,2002,40,No
9699,41,Local-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,Yes
9834,32,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Male,0,0,40,Yes
7902,37,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Male,0,0,50,Yes
954,19,Local-gov,11th,7,Never-married,Handlers-cleaners,Other-relative,Male,0,0,35,No
12519,52,Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,Yes
1609,39,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Male,0,0,40,No
7343,27,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,90,Yes
2244,57,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,15024,0,40,Yes
14847,19,Private,Some-college,10,Never-married,Sales,Own-child,Female,0,0,7,No
259,30,State-gov,HS-grad,9,Never-married,Other-service,Not-in-family,Male,0,0,40,No
8145,35,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,1977,65,Yes
9571,43,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,36,Yes
9314,46,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,Yes
7129,47,Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,Female,0,0,40,No
11272,26,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Male,0,0,43,No
4416,28,Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Own-child,Male,0,0,45,No
915,30,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,Male,0,0,40,Yes
16001,56,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,Male,7298,0,40,Yes
14825,24,Private,Some-college,10,Married-spouse-absent,Farming-fishing,Unmarried,Female,0,0,40,No
2700,58,Local-gov,Bachelors,13,Separated,Prof-specialty,Unmarried,Female,0,0,40,Yes
12678,46,Local-gov,Bachelors,13,Divorced,Craft-repair,Not-in-family,Male,0,0,40,No
6494,32,Local-gov,Some-college,10,Divorced,Other-service,Not-in-family,Female,0,0,30,No
5139,24,Private,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,Male,0,0,40,No
7979,36,Private,HS-grad,9,Divorced,Sales,Not-in-family,Male,0,0,50,No
10899,40,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,1977,40,Yes
40,20,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Male,0,0,40,No
3344,23,Private,Bachelors,13,Never-married,Exec-managerial,Unmarried,Female,0,0,30,No
3681,37,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,15024,0,40,Yes
9170,61,Private,12th,8,Married-civ-spouse,Craft-repair,Wife,Female,0,0,40,No
13862,32,Private,HS-grad,9,Never-married,Craft-repair,Other-relative,Male,0,0,38,No
3426,32,Private,Some-college,10,Never-married,Adm-clerical,Unmarried,Female,0,0,40,No
4330,56,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,35,Yes
10642,20,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Male,0,0,44,No
3181,24,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Female,0,0,40,No
4317,37,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,50,Yes
8037,32,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,Yes
10031,29,Federal-gov,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,Female,0,0,40,No
5863,31,Private,HS-grad,9,Separated,Sales,Unmarried,Female,0,0,40,No
2315,61,Private,10th,6,Widowed,Craft-repair,Unmarried,Female,0,2001,40,No
4721,35,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Male,0,0,40,No
14153,64,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,50,Yes
14208,57,Private,9th,5,Never-married,Craft-repair,Not-in-family,Male,0,1617,35,No
5154,24,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,No
14518,24,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Male,3137,0,40,No
12355,44,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,60,Yes
7581,34,Private,11th,7,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,No
10088,38,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,55,No
15033,47,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,Yes
1338,34,Private,10th,6,Never-married,Farming-fishing,Not-in-family,Male,0,0,40,No
9520,52,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Male,0,0,48,Yes
2841,43,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,45,Yes
2326,20,Private,Some-college,10,Never-married,Sales,Other-relative,Female,0,0,35,No
6459,32,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,No
12384,56,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,45,No
14105,36,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,50,Yes
15843,47,State-gov,Some-college,10,Divorced,Tech-support,Unmarried,Female,0,0,48,No
9732,45,Self-emp-not-inc,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Male,0,0,65,No
5333,58,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,24,No
10203,35,Local-gov,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Male,0,0,40,No
11864,49,Self-emp-not-inc,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,Female,0,0,60,No
9991,33,Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,No
7190,27,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,Male,0,0,40,No
12253,50,Private,HS-grad,9,Married-spouse-absent,Transport-moving,Not-in-family,Male,0,0,45,No
3571,29,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,Yes
3509,65,Local-gov,9th,5,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,No
746,40,Private,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,Female,0,0,28,No
15124,38,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,80,Yes
14621,18,Private,Some-college,10,Never-married,Tech-support,Not-in-family,Female,0,0,40,No
